"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime"
1,1,1,"B0BN5F6MJY",false,61.99,"USD",0,0,0,0,4.2,"https://www.amazon.com/dp/B0BN5F6MJY",0,false,false,false,false
1,2,2,"B0DHKR8FFX",true,119.99,"USD",159.99,40,25,0,4.5,"https://www.amazon.com/dp/B0DHKR8FFX",0,false,false,false,false
1,3,3,"B00JH98GR4",true,159.99,"USD",219.99,60,27.27,0,4.4,"https://www.amazon.com/dp/B00JH98GR4",0,false,true,false,false
1,4,4,"B0B6D6GML1",true,64.99,"USD",79.99,15,18.75,0,4.3,"https://www.amazon.com/dp/B0B6D6GML1",0,false,false,false,false
1,5,5,"B0CB6B2JWG",false,199.99,"USD",0,0,0,0,4.4,"https://www.amazon.com/dp/B0CB6B2JWG",0,false,false,false,false
1,6,6,"B09V5NPHP3",true,49.99,"USD",59.99,10,16.67,0,4.4,"https://www.amazon.com/dp/B09V5NPHP3",0,false,false,false,false
1,7,7,"B0D8JGKK4V",true,129.99,"USD",219.99,90,40.91,0,4.7,"https://www.amazon.com/dp/B0D8JGKK4V",0,false,false,false,false
2,2,9,"B0D7BKWZ1G",true,109.99,"USD",159.99,50,31.25,0,4.5,"https://www.amazon.com/dp/B0D7BKWZ1G",0,false,false,false,false
2,3,10,"B0DHKR8FFX",true,119.99,"USD",159.99,40,25,0,4.5,"https://www.amazon.com/dp/B0DHKR8FFX",0,false,false,false,false
2,4,11,"B07NVR2NTT",false,33.99,"USD",0,0,0,0,4.1,"https://www.amazon.com/dp/B07NVR2NTT",0,false,false,false,false
2,5,12,"B0D62RRKCT",true,99.99,"USD",149.99,50,33.34,0,4.5,"https://www.amazon.com/dp/B0D62RRKCT",0,false,false,false,false
3,2,14,"B0CZMQNL1K",true,119.99,"USD",189.99,70,36.84,0,4.4,"https://www.amazon.com/dp/B0CZMQNL1K",0,false,false,false,false
3,3,15,"B08JTVDQ2G",true,319.99,"USD",349.99,30,8.57,0,4.1,"https://www.amazon.com/dp/B08JTVDQ2G",0,false,false,false,false
3,4,16,"B0BN5F6MJY",false,61.99,"USD",0,0,0,0,4.2,"https://www.amazon.com/dp/B0BN5F6MJY",0,false,false,false,false
3,5,17,"B07FX7Z3NL",true,239.99,"USD",279.99,40,14.29,0,4.5,"https://www.amazon.com/dp/B07FX7Z3NL",0,false,false,false,false
3,6,18,"B08FP95RQD",true,229.99,"USD",349.99,120,34.29,0,4.3,"https://www.amazon.com/dp/B08FP95RQD",0,false,false,false,false
1,8,19,"B0B1RVNNN7",true,89.99,"USD",99.99,10,10,0,4.5,"https://www.amazon.com/dp/B0B1RVNNN7",0,false,false,false,false
1,9,20,"B07S652B12",true,199.99,"USD",259.99,60,23.08,0,4.3,"https://www.amazon.com/dp/B07S652B12",0,false,false,false,false
1,11,21,"B083JBZXYS",false,69.99,"USD",0,0,0,0,4.2,"https://www.amazon.com/dp/B083JBZXYS",0,false,false,false,false
1,12,22,"B091SWWH59",false,99.99,"USD",0,0,0,0,4.3,"https://www.amazon.com/dp/B091SWWH59",0,false,false,true,false
1,13,23,"B0D5H5JVGH",true,169.99,"USD",209.99,40,19.05,0,4.8,"https://www.amazon.com/dp/B0D5H5JVGH",0,false,false,false,false
1,14,24,"B00NGVF4II",true,234.35,"USD",249.99,15.64,6.26,0,4.5,"https://www.amazon.com/dp/B00NGVF4II",0,false,false,false,false
1,15,25,"B0D9QMMHVZ",true,109.99,"USD",129.99,20,15.39,0,4.7,"https://www.amazon.com/dp/B0D9QMMHVZ",0,false,false,false,false
1,16,26,"B08MF9HQVX",false,79.99,"USD",0,0,0,0,4.4,"https://www.amazon.com/dp/B08MF9HQVX",0,false,false,false,false
1,17,27,"B0DDCFGPLP",true,119.99,"USD",169.99,50,29.41,0,4.6,"https://www.amazon.com/dp/B0DDCFGPLP",0,false,false,false,false
1,18,28,"B06ZY7BTWM",false,33,"USD",0,0,0,0,4.3,"https://www.amazon.com/dp/B06ZY7BTWM",0,false,false,true,false
1,19,29,"B09LNHL7JN",false,139.04,"USD",0,0,0,0,4.5,"https://www.amazon.com/dp/B09LNHL7JN",0,false,false,false,false
1,20,30,"B0CNKX4429",true,227,"USD",249.99,22.99,9.2,0,4.1,"https://www.amazon.com/dp/B0CNKX4429",0,false,false,false,false
1,21,31,"B089WZMB7R",false,54.99,"USD",0,0,0,0,4.3,"https://www.amazon.com/dp/B089WZMB7R",0,false,false,false,false
1,22,32,"B0DCZRXC2R",true,127.99,"USD",199.99,72,36,0,4.4,"https://www.amazon.com/dp/B0DCZRXC2R",0,false,false,false,false
2,6,33,"B0D7ZT5HN1",true,99.99,"USD",129.97,29.98,23.07,0,4.7,"https://www.amazon.com/dp/B0D7ZT5HN1",0,false,false,false,false
2,7,34,"B0CNKX4429",true,227,"USD",249.99,22.99,9.2,0,4.1,"https://www.amazon.com/dp/B0CNKX4429",0,false,false,false,false
2,8,35,"B0DGGF92TN",false,61.98,"USD",0,0,0,0,5,"https://www.amazon.com/dp/B0DGGF92TN",0,false,false,false,false
2,10,36,"B0DHTR2RHP",true,129.99,"USD",199.99,70,35,0,5,"https://www.amazon.com/dp/B0DHTR2RHP",0,false,false,false,false
2,11,37,"B0DJLYXWM2",false,159.99,"USD",0,0,0,0,5,"https://www.amazon.com/dp/B0DJLYXWM2",0,false,false,false,false
2,12,38,"B0DB2753B2",false,149.99,"USD",0,0,0,0,4.7,"https://www.amazon.com/dp/B0DB2753B2",0,false,false,false,false
2,13,39,"B09LPCZ9FF",false,175.09,"USD",0,0,0,0,4.5,"https://www.amazon.com/dp/B09LPCZ9FF",0,false,false,false,false
2,14,40,"B0DC6PCJCC",false,99.99,"USD",0,0,0,0,4.6,"https://www.amazon.com/dp/B0DC6PCJCC",0,false,false,false,false
2,15,41,"B00DFBDALC",true,129,"USD",249.99,120.99,48.4,0,4.5,"https://www.amazon.com/dp/B00DFBDALC",0,false,false,false,false
2,16,42,"B0D8JGKK4V",true,129.99,"USD",219.99,90,40.91,0,4.7,"https://www.amazon.com/dp/B0D8JGKK4V",0,false,false,false,false
2,17,43,"B083C2DTKX",true,79.14,"USD",87.99,8.85,10.06,0,4.3,"https://www.amazon.com/dp/B083C2DTKX",0,false,false,false,false
2,18,44,"B0091JG0LY",true,259,"USD",299.99,40.99,13.66,0,4.5,"https://www.amazon.com/dp/B0091JG0LY",0,false,false,false,false
2,19,45,"B001NDNV18",true,169,"USD",228.99,59.99,26.2,0,4.3,"https://www.amazon.com/dp/B001NDNV18",0,false,false,false,false
2,20,46,"B07F6N3RT6",false,135.16,"USD",0,0,0,0,4.6,"https://www.amazon.com/dp/B07F6N3RT6",0,false,false,false,false
2,21,47,"B0D4TTPPDT",true,119.99,"USD",139.99,20,14.29,0,5,"https://www.amazon.com/dp/B0D4TTPPDT",0,false,false,false,false
2,22,48,"B07GB4S9H5",true,71.92,"USD",79.99,8.07,10.09,0,4.2,"https://www.amazon.com/dp/B07GB4S9H5",0,false,false,true,false
3,7,49,"B07R295MLS",false,249.99,"USD",0,0,0,0,4.3,"https://www.amazon.com/dp/B07R295MLS",0,false,false,false,false
3,8,50,"B0C2H1SJSJ",true,53.49,"USD",59.99,6.5,10.84,0,3.9,"https://www.amazon.com/dp/B0C2H1SJSJ",0,false,false,false,false
3,9,51,"B08VF39KMN",false,216.29,"USD",0,0,0,0,4.4,"https://www.amazon.com/dp/B08VF39KMN",0,false,false,false,false
3,10,52,"B0BQX5BR7C",true,249.99,"USD",279.99,30,10.71,0,4.5,"https://www.amazon.com/dp/B0BQX5BR7C",0,false,false,false,false
3,11,53,"B0DJLYXWM2",false,159.99,"USD",0,0,0,0,5,"https://www.amazon.com/dp/B0DJLYXWM2",0,false,false,false,false
3,12,54,"B0DJ79MJRL",false,159.99,"USD",0,0,0,0,5,"https://www.amazon.com/dp/B0DJ79MJRL",0,false,false,false,false
3,13,55,"B00260TWII",true,179.99,"USD",247.99,68,27.42,0,4.3,"https://www.amazon.com/dp/B00260TWII",0,false,false,false,false
3,14,56,"B08L5NN6QV",false,0,"USD",0,0,0,0,4.5,"https://www.amazon.com/dp/B08L5NN6QV",0,false,false,false,false
3,15,57,"B0D15YWYMD",true,279.99,"USD",349.99,70,20,0,4.4,"https://www.amazon.com/dp/B0D15YWYMD",0,false,false,false,false
3,16,58,"B07G2QQJTS",false,69.99,"USD",0,0,0,0,4.2,"https://www.amazon.com/dp/B07G2QQJTS",0,false,false,false,false
3,17,59,"B0B499BXWC",true,31.99,"USD",39.99,8,20.01,0,4,"https://www.amazon.com/dp/B0B499BXWC",0,false,false,false,false
3,18,60,"B0B6Q1FDTJ",true,129.99,"USD",139.99,10,7.14,0,4.3,"https://www.amazon.com/dp/B0B6Q1FDTJ",0,false,false,false,false
3,19,61,"B0D41NH8ZJ",true,69.99,"USD",129.99,60,46.16,0,4.1,"https://www.amazon.com/dp/B0D41NH8ZJ",0,false,false,false,false
3,20,62,"B07F6MXJ9X",false,154.49,"USD",0,0,0,0,4.5,"https://www.amazon.com/dp/B07F6MXJ9X",0,false,false,false,false
3,21,63,"B07GB4S9H5",true,71.92,"USD",79.99,8.07,10.09,0,4.2,"https://www.amazon.com/dp/B07GB4S9H5",0,false,false,true,false
3,22,64,"B0CZNTRLJB",false,179.99,"USD",0,0,0,0,4.7,"https://www.amazon.com/dp/B0CZNTRLJB",0,false,false,false,false